Animal,Day ,Shed,Strain,StudyVar
432,9,150,RM6067,B
432,11,350,RM6067,B
432,14,100,RM6067,B
30,1,50,TW14588,A
30,2,0,TW14588,A
30,3,0,TW14588,A
30,4,50,TW14588,A
30,5,1000,TW14588,A
30,7,125000,TW14588,A
30,9,4500,TW14588,A
30,11,0,TW14588,A
30,14,0,TW14588,A
31,1,350,TW14588,A
31,2,0,TW14588,A
31,3,0,TW14588,A
31,4,0,TW14588,A
31,5,11000,TW14588,A
31,7,8000,TW14588,A
31,9,0,TW14588,A
31,11,0,TW14588,A
31,14,0,TW14588,A
32,1,110000,TW14588,A
32,2,35000,TW14588,A
32,3,0,TW14588,A
32,4,480000,TW14588,A
32,5,25500,TW14588,A
32,7,50000,TW14588,A
32,9,50,TW14588,A
32,11,0,TW14588,A
32,14,0,TW14588,A
33,1,7500000,TW14588,A
33,2,50,TW14588,A
33,3,50,TW14588,A
33,4,120000,TW14588,A
33,5,50,TW14588,A
33,7,355000,TW14588,A
33,9,0,TW14588,A
33,11,0,TW14588,A
33,14,0,TW14588,A
436,1,0,TW14588,B
436,2,0,TW14588,B
436,3,0,TW14588,B
436,4,50,TW14588,B
436,5,100,TW14588,B
436,7,0,TW14588,B
436,9,0,TW14588,B
436,11,50,TW14588,B
436,14,0,TW14588,B
437,1,800,TW14588,B
437,2,6300,TW14588,B
437,3,80500,TW14588,B
437,4,200000,TW14588,B
437,5,91000,TW14588,B
437,7,50,TW14588,B
437,9,50,TW14588,B
437,11,0,TW14588,B
437,14,50,TW14588,B
429,1,200,TW14588,B
429,2,1750,TW14588,B
429,3,8000,TW14588,B
429,4,9500,TW14588,B
429,5,6500,TW14588,B
429,7,950,TW14588,B
429,9,50,TW14588,B
429,11,0,TW14588,B
429,14,50,TW14588,B
430,1,200,TW14588,B
430,2,5800,TW14588,B
430,3,9000,TW14588,B
430,4,32500,TW14588,B
430,5,165000,TW14588,B
430,7,10500,TW14588,B
430,9,200,TW14588,B
430,11,50,TW14588,B
430,14,0,TW14588,B
