Animal,Day,Swab,Strain,StudyVar
439,7,500,RM6067W,B
439,9,860,RM6067W,B
439,11,10,RM6067W,B
439,14,10,RM6067W,B
30,1,0,TW14588,A
30,2,0,TW14588,A
30,3,10,TW14588,A
30,4,10,TW14588,A
30,5,310,TW14588,A
30,7,12700,TW14588,A
30,9,24000,TW14588,A
30,11,0,TW14588,A
30,14,0,TW14588,A
31,1,0,TW14588,A
31,2,10,TW14588,A
31,3,70,TW14588,A
31,4,10,TW14588,A
31,5,2320,TW14588,A
31,7,240,TW14588,A
31,9,0,TW14588,A
31,11,0,TW14588,A
31,14,0,TW14588,A
32,1,1120,TW14588,A
32,2,80,TW14588,A
32,3,350,TW14588,A
32,4,290,TW14588,A
32,5,2320,TW14588,A
32,7,1700,TW14588,A
32,9,50,TW14588,A
32,11,0,TW14588,A
32,14,0,TW14588,A
33,1,10,TW14588,A
33,2,7000,TW14588,A
33,3,10,TW14588,A
33,4,30,TW14588,A
33,5,3900,TW14588,A
33,7,130,TW14588,A
33,9,0,TW14588,A
33,11,0,TW14588,A
33,14,0,TW14588,A
429,1,40,TW14588,B
429,2,350,TW14588,B
429,3,1600,TW14588,B
429,4,1900,TW14588,B
429,5,1300,TW14588,B
429,7,190,TW14588,B
429,9,10,TW14588,B
429,11,0,TW14588,B
429,14,10,TW14588,B
430,1,40,TW14588,B
430,2,1160,TW14588,B
430,3,1800,TW14588,B
430,4,6500,TW14588,B
430,5,33000,TW14588,B
430,7,2100,TW14588,B
430,9,40,TW14588,B
430,11,10,TW14588,B
430,14,0,TW14588,B
436,1,0,TW14588,B
436,2,0,TW14588,B
436,3,0,TW14588,B
436,4,10,TW14588,B
436,5,20,TW14588,B
436,7,0,TW14588,B
436,9,0,TW14588,B
436,11,10,TW14588,B
436,14,0,TW14588,B
437,1,160,TW14588,B
437,2,1260,TW14588,B
437,3,16100,TW14588,B
437,4,40000,TW14588,B
437,5,18200,TW14588,B
437,7,10,TW14588,B
437,9,10,TW14588,B
437,11,0,TW14588,B
437,14,10,TW14588,B
